epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,268.231,1.3211,1.24654,1.45762,0.80053,0.86388,0.94188,0.67148,1.03756,0.85862,1.34705,0.00104231,0.00104231,0.00104231
43,275.307,1.31784,1.24062,1.47289,0.91163,0.89542,0.94879,0.64722,1.02366,0.84397,1.29638,0.00103288,0.00103288,0.00103288
44,281.003,1.22918,1.17437,1.42046,0.86991,0.84912,0.91295,0.66765,0.97268,0.93554,1.26327,0.00102345,0.00102345,0.00102345
45,288.263,1.23948,1.11954,1.43807,0.84398,0.77992,0.84201,0.58768,1.08788,0.91507,1.33376,0.00101402,0.00101402,0.00101402
46,293.527,1.26075,1.18035,1.42439,0.91132,0.70491,0.86758,0.51169,1.38853,1.26309,1.5505,0.00100459,0.00100459,0.00100459
47,299.92,1.25832,1.13172,1.45265,0.91102,0.71446,0.81567,0.44113,1.83397,1.07864,1.93722,0.000995156,0.000995156,0.000995156
48,306.642,1.21816,1.09368,1.41454,0.86248,0.78286,0.86485,0.54323,1.50287,0.91756,1.54353,0.000985724,0.000985724,0.000985724
49,311.797,1.21697,1.09659,1.39586,0.72698,0.74795,0.85574,0.60123,1.14136,1.07912,1.34057,0.000976293,0.000976293,0.000976293
50,319.347,1.25302,1.16609,1.42562,0.86125,0.72006,0.86268,0.55315,1.16344,0.91137,1.45735,0.000966861,0.000966861,0.000966861
51,324.927,1.22386,1.09214,1.42622,0.78278,0.71496,0.77568,0.52112,1.22997,1.0665,1.46022,0.00095743,0.00095743,0.00095743
52,331.48,1.18728,1.07388,1.38797,0.87367,0.82775,0.88667,0.65377,1.09254,0.84693,1.36863,0.000947999,0.000947999,0.000947999
53,337.709,1.23399,1.10576,1.4126,0.78007,0.79817,0.88783,0.62715,1.09164,1.00101,1.37043,0.000938567,0.000938567,0.000938567
54,343.29,1.20765,1.07983,1.395,0.85652,0.87121,0.94567,0.68516,0.99618,0.76358,1.25372,0.000929136,0.000929136,0.000929136
55,350.813,1.16915,1.04788,1.36523,0.75492,0.80139,0.8362,0.60918,0.96359,0.99604,1.26279,0.000919704,0.000919704,0.000919704
56,356.079,1.11727,1.00432,1.33883,0.88494,0.78845,0.90819,0.68269,0.87287,0.88636,1.22559,0.000910273,0.000910273,0.000910273
57,363.066,1.12369,1.00509,1.34352,0.93892,0.93794,0.97711,0.71168,0.96888,0.67277,1.26894,0.000900842,0.000900842,0.000900842
58,369.008,1.14897,1.01023,1.3611,0.91689,0.84764,0.92056,0.65735,0.97704,0.7881,1.27793,0.00089141,0.00089141,0.00089141
59,374.688,1.13312,0.98646,1.34753,0.94803,0.87825,0.9411,0.6647,1.03166,0.76478,1.35402,0.000881979,0.000881979,0.000881979
60,381.908,1.12582,0.9562,1.347,0.88387,0.85492,0.90356,0.6736,0.94837,0.7776,1.29872,0.000872547,0.000872547,0.000872547
61,387.223,1.14057,1.00505,1.36284,0.90258,0.82785,0.93843,0.71052,0.9286,0.69733,1.27698,0.000863116,0.000863116,0.000863116
62,394.166,1.09465,0.97266,1.30312,0.84892,0.80784,0.9237,0.65787,1.06716,0.87002,1.38935,0.000853685,0.000853685,0.000853685
63,399.602,1.04886,0.88347,1.27739,0.86456,0.9556,0.97345,0.72172,0.97083,0.66954,1.25323,0.000844253,0.000844253,0.000844253
64,406.08,1.07874,0.95722,1.30809,0.96461,0.84734,0.95346,0.69402,0.94537,0.71869,1.29112,0.000834822,0.000834822,0.000834822
65,412.794,1.1061,0.97066,1.34882,0.87084,0.87162,0.89483,0.64791,0.97371,0.94367,1.26556,0.00082539,0.00082539,0.00082539
66,417.878,1.08023,0.93275,1.33408,0.79777,0.90051,0.93252,0.64799,1.07471,0.70486,1.33392,0.000815959,0.000815959,0.000815959
67,425.118,1.04774,0.93559,1.29612,0.85248,0.85163,0.94147,0.68295,0.93919,0.75963,1.20003,0.000806528,0.000806528,0.000806528
68,430.304,1.09523,0.96754,1.31045,0.8522,0.94231,0.92916,0.61309,1.26145,0.73402,1.36476,0.000797096,0.000797096,0.000797096
69,436.025,1.09728,0.92875,1.34843,0.88849,0.7342,0.84697,0.43663,1.76889,0.88746,1.7879,0.000787665,0.000787665,0.000787665
70,442.839,1.05701,0.89014,1.29811,0.8724,0.86508,0.95186,0.60327,1.25417,0.85404,1.44385,0.000778233,0.000778233,0.000778233
71,448.652,1.07514,0.92511,1.33251,0.94442,0.90794,0.97352,0.6848,1.05252,0.61918,1.36909,0.000768802,0.000768802,0.000768802
72,455.452,1.02415,0.89473,1.302,0.84215,0.95198,0.9753,0.66929,1.08119,0.66651,1.30801,0.000759371,0.000759371,0.000759371
73,461.24,1.05012,0.88765,1.30966,0.71694,0.86075,0.89485,0.64811,0.91371,0.89665,1.22923,0.000749939,0.000749939,0.000749939
74,467.12,0.99999,0.88093,1.25427,0.94675,0.89086,0.98532,0.72719,0.85191,0.59873,1.23357,0.000740508,0.000740508,0.000740508
75,473.705,1.03663,0.88712,1.29651,0.78288,0.89538,0.90193,0.62041,0.99836,0.78057,1.30315,0.000731076,0.000731076,0.000731076
76,479.169,0.99397,0.85215,1.2667,0.90833,0.98151,0.97342,0.73594,0.88226,0.6065,1.25261,0.000721645,0.000721645,0.000721645
77,486.524,1.02729,0.86278,1.28678,0.82743,0.94174,0.95995,0.72399,0.87039,0.63581,1.2267,0.000712214,0.000712214,0.000712214
78,492.379,1.0157,0.86418,1.28431,0.89073,0.96919,0.98954,0.71603,1.01007,0.60153,1.29083,0.000702782,0.000702782,0.000702782
79,498.993,0.99738,0.86139,1.28467,0.86707,0.89306,0.9722,0.71151,0.98105,0.69617,1.35918,0.000693351,0.000693351,0.000693351
80,505.287,1.02376,0.85312,1.28641,0.95581,0.92634,0.98099,0.69875,1.01527,0.63006,1.33839,0.000683919,0.000683919,0.000683919
81,510.841,1.00247,0.83918,1.2646,0.94734,0.95074,0.9674,0.69553,0.9452,0.64699,1.29307,0.000674488,0.000674488,0.000674488
82,518.048,1.00421,0.87351,1.26131,0.8718,0.82435,0.95609,0.6807,0.96674,0.70147,1.24593,0.000665057,0.000665057,0.000665057
83,523.187,0.97067,0.86296,1.2579,0.93397,0.82702,0.97208,0.75053,0.86729,0.68199,1.21883,0.000655625,0.000655625,0.000655625
84,530.555,0.99258,0.85724,1.2706,0.90791,0.91765,0.9794,0.7195,0.90071,0.59389,1.2444,0.000646194,0.000646194,0.000646194
85,535.844,0.97799,0.80521,1.25322,0.85743,0.92249,0.96746,0.68443,0.99506,0.61145,1.31611,0.000636762,0.000636762,0.000636762
86,541.411,1.03215,0.86396,1.27865,0.87541,0.95501,0.95828,0.70862,0.86339,0.56891,1.2234,0.000627331,0.000627331,0.000627331
87,548.667,0.98353,0.79644,1.2472,0.85737,0.95063,0.97224,0.78039,0.80598,0.56933,1.18654,0.0006179,0.0006179,0.0006179
88,553.866,1.01437,0.82668,1.27969,0.97082,0.92411,0.98191,0.74643,0.85257,0.59031,1.2195,0.000608468,0.000608468,0.000608468
89,561.097,0.96107,0.82043,1.2497,0.89491,0.96725,0.97958,0.72504,0.9278,0.5686,1.26572,0.000599037,0.000599037,0.000599037
90,566.962,0.95255,0.82444,1.22536,0.93608,0.9638,0.98792,0.73476,0.85377,0.53623,1.17682,0.000589605,0.000589605,0.000589605
91,573.056,0.87315,0.75209,1.17614,0.98965,0.97778,0.99375,0.76689,0.83015,0.49757,1.22062,0.000580174,0.000580174,0.000580174
92,580.303,0.93184,0.78603,1.22728,0.94691,0.93172,0.99,0.73543,0.89828,0.56685,1.22929,0.000570743,0.000570743,0.000570743
93,585.964,0.92456,0.7795,1.20502,0.97634,0.97098,0.99375,0.77146,0.80659,0.51593,1.17979,0.000561311,0.000561311,0.000561311
94,593.244,0.95274,0.74963,1.23798,0.97572,0.94025,0.98513,0.72033,1.00485,0.56474,1.31484,0.00055188,0.00055188,0.00055188
95,598.397,0.95208,0.78442,1.24768,0.93601,0.94251,0.98923,0.73114,0.89949,0.54836,1.24339,0.000542448,0.000542448,0.000542448
